#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-10-08 19:43:48.521
#Sample rate: 400Hz
#Samples: 3921
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 200 mHz
#Period: 5 s
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ¡Æ

Time (s),Channel 1 (V),Channel 2 (V)
14.1,-0.009150880471523392,-0.7600353819832488
14.1025,-0.009494733444977536,-0.7562345794796906
14.105,-0.0101824393918852,-0.7562345794796889
14.1075,-0.008807027498069249,-0.7524337769761323
14.11,-0.00777546857770682,-0.7486329744725742
14.1125,-0.00777546857770682,-0.7486329744725742
14.115,-0.008807027498069249,-0.744832171969016
14.1175,-0.008807027498069249,-0.7410313694654577
14.12,-0.009838586418431678,-0.7410313694654577
14.1225,-0.009838586418430896,-0.7410313694654559
14.125,-0.008119321551160963,-0.7372305669618995
14.1275,-0.007431615604252676,-0.7372305669618995
14.13,-0.008119321551160651,-0.7334297644583431
14.1325,-0.008463174524615261,-0.729628961954783
14.135,-0.008807027498069249,-0.729628961954783
14.1375,-0.009838586418431678,-0.7258281594512248
14.14,-0.009150880471523704,-0.7258281594512248
14.1425,-0.00777546857770682,-0.7258281594512248
14.145,-0.007431615604252676,-0.7220273569476666
14.1475,-0.008119321551160963,-0.7220273569476666
14.15,-0.008463174524615417,-0.7182265544441083
14.1525,-0.009150880471523392,-0.7182265544441083
14.155,-0.009838586418431678,-0.7182265544441083
14.1575,-0.00846317452461573,-0.7144257519405519
14.16,-0.007431615604252676,-0.7144257519405501
14.1625,-0.007431615604252676,-0.7106249494369918
14.165,-0.008119321551160963,-0.7106249494369918
14.1675,-0.008463174524615417,-0.7068241469334319
14.17,-0.009150880471523392,-0.7030233444298755
14.1725,-0.009150880471523392,-0.7030233444298755
14.175,-0.008119321551161431,-0.7030233444298755
14.1775,-0.007431615604252676,-0.6992225419263172
14.18,-0.007431615604252676,-0.6992225419263172
14.1825,-0.008119321551160963,-0.695421739422759
14.185,-0.008463174524615574,-0.6954217394227572
14.1875,-0.009494733444977536,-0.6916209369192008
14.19,-0.008807027498069249,-0.6916209369192008
14.1925,-0.007431615604253302,-0.6878201344156443
14.195,-0.00708776263079869,-0.6878201344156407
14.1975,-0.007431615604252676,-0.6840193319120843
14.2,-0.008119321551160963,-0.6840193319120843
14.2025,-0.008463174524614949,-0.6802185294085278
14.205,-0.009494733444977536,-0.6764177269049678
14.2075,-0.008119321551160963,-0.6764177269049678
14.21,-0.007087762630798534,-0.6764177269049678
14.2125,-0.00674390965734486,-0.6726169244014079
14.215,-0.00777546857770682,-0.6688161218978513
14.2175,-0.008119321551160963,-0.6688161218978513
14.22,-0.008807027498068937,-0.6650153193942949
14.2225,-0.008807027498069249,-0.6650153193942931
14.225,-0.007431615604252676,-0.661214516890735
14.2275,-0.006743909657344391,-0.6574137143871767
14.23,-0.007087762630798847,-0.6574137143871767
14.2325,-0.00777546857770682,-0.6574137143871767
14.235,-0.008119321551160963,-0.6536129118836185
14.2375,-0.009150880471522923,-0.6536129118836185
14.24,-0.008463174524615105,-0.6498121093800602
14.2425,-0.007087762630798534,-0.6498121093800602
14.245,-0.006743909657344391,-0.646011306876502
14.2475,-0.007087762630798847,-0.6422105043729438
14.25,-0.00777546857770682,-0.6422105043729438
14.2525,-0.008119321551160963,-0.6384097018693855
14.255,-0.009150880471522923,-0.6384097018693855
14.2575,-0.007775468577706194,-0.6346088993658273
14.26,-0.006400056683890248,-0.6346088993658273
14.2625,-0.006400056683890248,-0.6308080968622691
14.265,-0.007431615604252207,-0.6308080968622691
14.2675,-0.007431615604252676,-0.6270072943587108
14.27,-0.008463174524615105,-0.6270072943587108
14.2725,-0.008463174524615105,-0.6232064918551526
14.275,-0.007087762630798065,-0.6194056893515943
14.2775,-0.006056203710436104,-0.6194056893515943
14.28,-0.006743909657344391,-0.6156048868480362
14.2825,-0.007087762630798378,-0.6156048868480362
14.285,-0.007431615604252676,-0.611804084344478
14.2875,-0.008463174524615105,-0.6080032818409197
14.29,-0.00777546857770682,-0.6080032818409197
14.2925,-0.006400056683890092,-0.6042024793373615
14.295,-0.006056203710436104,-0.6042024793373615
14.2975,-0.006743909657344391,-0.6004016768338033
14.3,-0.007087762630798378,-0.6004016768338033
14.3025,-0.00777546857770682,-0.596600874330245
14.305,-0.008463174524615105,-0.596600874330245
14.3075,-0.007087762630798534,-0.5928000718266868
14.31,-0.006056203710436104,-0.592800071826685
14.3125,-0.006056203710436104,-0.5889992693231286
14.315,-0.006743909657344391,-0.5889992693231286
14.3175,-0.007087762630798378,-0.5851984668195721
14.32,-0.008119321551160963,-0.5851984668195686
14.3225,-0.008119321551160963,-0.5813976643160121
14.325,-0.006400056683890248,-0.5775968618124538
14.3275,-0.006056203710436261,-0.5775968618124538
14.33,-0.006056203710436104,-0.5737960593088957
14.3325,-0.006743909657344391,-0.5737960593088957
14.335,-0.007087762630798534,-0.5737960593088957
14.3375,-0.008119321551160651,-0.5699952568053375
14.34,-0.007431615604252676,-0.5699952568053375
14.3425,-0.006056203710436104,-0.5661944543017792
14.345,-0.005368497763528131,-0.5661944543017792
14.3475,-0.006400056683890248,-0.562393651798221
14.35,-0.006743909657344391,-0.5585928492946628
14.3525,-0.007087762630798534,-0.5585928492946628
14.355,-0.008119321551160337,-0.558592849294661
14.3575,-0.006743909657344391,-0.5547920467911045
14.36,-0.005712350736981961,-0.5547920467911045
14.3625,-0.005712350736981961,-0.5509912442875481
14.365,-0.006056203710436104,-0.547190441783988
14.3675,-0.006743909657344391,-0.547190441783988
14.37,-0.007431615604252676,-0.5433896392804298
14.3725,-0.007431615604252051,-0.543389639280428
14.375,-0.006056203710436104,-0.5395888367768716
14.3775,-0.005712350736981961,-0.5395888367768716
14.38,-0.005368497763527974,-0.5357880342733151
14.3825,-0.006400056683890404,-0.5357880342733116
14.385,-0.006743909657344391,-0.5319872317697552
14.3875,-0.00777546857770682,-0.5319872317697552
14.39,-0.00674390965734486,-0.5281864292661987
14.3925,-0.005368497763527818,-0.5243856267626387
14.395,-0.005024644790073675,-0.5243856267626387
14.3975,-0.006056203710436104,-0.5205848242590805
14.4,-0.006400056683890404,-0.5205848242590787
14.4025,-0.006743909657344391,-0.5167840217555222
14.405,-0.007431615604252676,-0.5167840217555222
14.4075,-0.006400056683890717,-0.5129832192519658
14.41,-0.005024644790073675,-0.512983219251964
14.4125,-0.005024644790073675,-0.5091824167484058
14.415,-0.006056203710436104,-0.5091824167484058
14.4175,-0.006400056683890561,-0.5053816142448457
14.42,-0.007087762630798534,-0.5015808117412893
14.4225,-0.007087762630798534,-0.5015808117412893
14.425,-0.0053684977635286,-0.5015808117412893
14.4275,-0.004680791816619532,-0.4977800092377311
14.43,-0.005368497763527818,-0.4939792067341728
14.4325,-0.005712350736981961,-0.4939792067341728
14.435,-0.00605620371043673,-0.4901784042306147
14.4375,-0.007431615604252676,-0.4901784042306147
14.44,-0.006400056683890248,-0.4863776017270564
14.4425,-0.0050246447900743,-0.4825767992234999
14.445,-0.004680791816619845,-0.4825767992234982
14.4475,-0.005368497763527818,-0.4825767992234982
14.45,-0.005712350736981961,-0.47877599671994
14.4525,-0.006056203710435948,-0.4749751942163835
14.455,-0.007087762630798534,-0.4749751942163817
14.4575,-0.005712350736981961,-0.4711743917128235
14.46,-0.004336938843165388,-0.4711743917128235
14.4625,-0.004680791816619845,-0.4673735892092652
14.465,-0.005368497763527818,-0.4673735892092652
14.4675,-0.005712350736981961,-0.4635727867057071
14.47,-0.006400056683889935,-0.4635727867057071
14.4725,-0.006743909657344391,-0.4597719842021488
14.475,-0.005024644790073675,-0.4597719842021488
14.4775,-0.004336938843165388,-0.4559711816985906
14.48,-0.004680791816619845,-0.4521703791950323
14.4825,-0.005368497763527818,-0.4521703791950323
14.485,-0.005712350736981961,-0.4483695766914741
14.4875,-0.006743909657343922,-0.4483695766914741
14.49,-0.006056203710436104,-0.4445687741879159
14.4925,-0.004680791816619532,-0.4445687741879159
14.495,-0.004336938843165388,-0.4407679716843577
14.4975,-0.004680791816619845,-0.4407679716843559
14.5,-0.005368497763527818,-0.4369671691807994
14.5025,-0.005712350736981961,-0.4369671691807994
14.505,-0.006743909657343922,-0.433166366677243
14.5075,-0.005368497763527349,-0.4331663666772395
14.51,-0.004336938843165388,-0.429365564173683
14.5125,-0.003993085869711246,-0.429365564173683
14.515,-0.005024644790073206,-0.4255647616701265
14.5175,-0.005368497763527818,-0.4217639591665665
14.52,-0.006056203710436104,-0.4217639591665665
14.5225,-0.006056203710436104,-0.4179631566630083
14.525,-0.004680791816619219,-0.4179631566630066
14.5275,-0.003993085869711246,-0.4141623541594501
14.53,-0.003993085869711246,-0.4103615516558918
14.5325,-0.005024644790073206,-0.4103615516558918
14.535,-0.005368497763527818,-0.4065607491523336
14.5375,-0.006400056683890248,-0.4065607491523336
14.54,-0.005712350736981961,-0.4027599466487754
14.5425,-0.00399308586971109,-0.4027599466487737
14.545,-0.003649232896257103,-0.3989591441452172
14.5475,-0.004680791816619532,-0.3989591441452172
14.55,-0.005024644790073519,-0.3951583416416606
14.5525,-0.005368497763527818,-0.3951583416416589
14.555,-0.006056203710436104,-0.3913575391381007
14.5575,-0.005024644790073675,-0.3875567366345425
14.56,-0.003649232896257103,-0.3875567366345408
14.5625,-0.003649232896257103,-0.3837559341309842
14.565,-0.004336938843165388,-0.3837559341309842
14.5675,-0.004680791816619376,-0.3837559341309842
14.57,-0.005712350736981961,-0.379955131627426
14.5725,-0.005712350736981961,-0.379955131627426
14.575,-0.003993085869711246,-0.3761543291238678
14.5775,-0.003649232896257259,-0.3761543291238678
14.58,-0.003649232896257103,-0.3723535266203096
14.5825,-0.004336938843165388,-0.3723535266203096
14.585,-0.004680791816619532,-0.3685527241167513
14.5875,-0.005712350736981648,-0.3685527241167496
14.59,-0.005024644790073675,-0.3647519216131931
14.5925,-0.003649232896257103,-0.3647519216131931
14.595,-0.003305379922803116,-0.3609511191096366
14.5975,-0.003649232896257103,-0.3609511191096349
14.6,-0.004336938843165388,-0.3571503166060767
14.6025,-0.004680791816619532,-0.3571503166060767
14.605,-0.005712350736981336,-0.3533495141025184
