#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-10-08 19:48:49.351
#Sample rate: 400Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 200 mHz
#Period: 5 s
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ¡Æ

Time (s),Channel 1 (V),Channel 2 (V)
14.1,-0.002961526949348816,-0.2507278465064463
14.1025,-0.00330537992280296,-0.2507278465064463
14.105,-0.00296152694934866,-0.246927044002888
14.1075,-0.002617673975894673,-0.246927044002888
14.11,-0.002617673975894673,-0.2431262414993298
14.1125,-0.003649232896256634,-0.2431262414993298
14.115,-0.003993085869711246,-0.2393254389957716
14.1175,-0.005024644790073675,-0.2393254389957716
14.12,-0.003649232896257103,-0.2355246364922133
14.1225,-0.002617673975894517,-0.2355246364922116
14.125,-0.00227382100244053,-0.2317238339886551
14.1275,-0.002961526949348816,-0.2317238339886551
14.13,-0.003305379922802804,-0.2279230314850986
14.1325,-0.004336938843165388,-0.2241222289815387
14.135,-0.004336938843165388,-0.2241222289815387
14.1375,-0.002961526949348816,-0.2203214264779804
14.14,-0.002273821002440843,-0.2203214264779804
14.1425,-0.00227382100244053,-0.2165206239744222
14.145,-0.002961526949348816,-0.2165206239744222
14.1475,-0.00330537992280296,-0.212719821470864
14.15,-0.004336938843165075,-0.2127198214708622
14.1525,-0.003649232896257103,-0.2089190189673057
14.155,-0.00227382100244053,-0.2089190189673057
14.1575,-0.001929968028986544,-0.2051182164637492
14.16,-0.002617673975894673,-0.2051182164637475
14.1625,-0.002961526949348816,-0.2013174139601893
14.165,-0.00330537992280296,-0.2013174139601893
14.1675,-0.004336938843164919,-0.197516611456631
14.17,-0.00330537992280296,-0.197516611456631
14.1725,-0.001929968028986387,-0.1937158089530728
14.175,-0.0015861150555324,-0.1937158089530728
14.1775,-0.002617673975894673,-0.1899150064495146
14.18,-0.002961526949348816,-0.1899150064495146
14.1825,-0.003649232896257103,-0.1899150064495146
14.185,-0.003993085869710465,-0.1861142039459564
14.1875,-0.00227382100244053,-0.1861142039459564
14.19,-0.001586115055532244,-0.1823134014423981
14.1925,-0.001586115055532244,-0.1823134014423981
14.195,-0.002273821002440843,-0.1823134014423964
14.1975,-0.002961526949348816,-0.1785125989388399
14.2,-0.003993085869711246,-0.1785125989388399
14.2025,-0.003305379922803272,-0.1747117964352834
14.205,-0.001586115055532244,-0.1747117964352817
14.2075,-0.001242262082078101,-0.1709109939317235
14.21,-0.001929968028986387,-0.1671101914281652
14.2125,-0.002273821002440843,-0.1671101914281635
