,time,V1,V2,sineoutput_freq,sineoutput_amplitude,Resistance,capacitance
0,0.0,4.899808074602924,-0.06448852383209305,1000,5,220,1e-07
1,1e-06,4.896022736716449,-0.07209012883920951,1000,5,220,1e-07
2,2e-06,4.892237398829975,-0.07589093134276774,1000,5,220,1e-07
3,3e-06,4.880881385170552,-0.0834925363498842,1000,5,220,1e-07
4,4e-06,4.884666723057026,-0.09109414135700065,1000,5,220,1e-07
5,5e-06,4.877096047284078,-0.09109414135700065,1000,5,220,1e-07
6,6e-06,4.877096047284078,-0.09489494386055888,1000,5,220,1e-07
7,7e-06,4.869525371511129,-0.09489494386055888,1000,5,220,1e-07
8,8e-06,4.858169357851706,-0.09869574636411711,1000,5,220,1e-07
9,9e-06,4.858169357851706,-0.09869574636411711,1000,5,220,1e-07
10,1e-05,4.846813344192283,-0.10249654886767534,1000,5,220,1e-07
11,1.1e-05,4.83545733053286,-0.1100981538747918,1000,5,220,1e-07
12,1.2e-05,4.827886654759911,-0.11389895637835003,1000,5,220,1e-07
13,1.3e-05,4.820315978986962,-0.11389895637835003,1000,5,220,1e-07
14,1.4e-05,4.820315978986962,-0.11769975888190826,1000,5,220,1e-07
15,1.5e-05,4.816530641100488,-0.12530136388902471,1000,5,220,1e-07
16,1.6e-05,4.8051746274410645,-0.12910216639258293,1000,5,220,1e-07
17,1.7e-05,4.793818613781641,-0.13290296889614117,1000,5,220,1e-07
18,1.8e-05,4.786247938008692,-0.13290296889614117,1000,5,220,1e-07
19,1.9e-05,4.778677262235744,-0.1367037713996994,1000,5,220,1e-07
20,2e-05,4.771106586462795,-0.14430537640681584,1000,5,220,1e-07
21,2.1e-05,4.755965234916898,-0.1481061789103741,1000,5,220,1e-07
22,2.2e-05,4.748394559143949,-0.1519069814139323,1000,5,220,1e-07
23,2.3e-05,4.737038545484526,-0.1519069814139323,1000,5,220,1e-07
24,2.4e-05,4.733253207598052,-0.15950858642104876,1000,5,220,1e-07
25,2.5e-05,4.725682531825103,-0.15950858642104876,1000,5,220,1e-07
26,2.6e-05,4.71432651816568,-0.15950858642104876,1000,5,220,1e-07
27,2.7e-05,4.699185166619783,-0.16711019142816522,1000,5,220,1e-07
28,2.8e-05,4.695399828733308,-0.16711019142816522,1000,5,220,1e-07
29,2.9e-05,4.68782915296036,-0.17091099393172346,1000,5,220,1e-07
30,3e-05,4.676473139300937,-0.17471179643528167,1000,5,220,1e-07
31,3.1e-05,4.672687801414462,-0.17851259893883992,1000,5,220,1e-07
32,3.2e-05,4.661331787755039,-0.18611420394595637,1000,5,220,1e-07
33,3.3e-05,4.6461904362091415,-0.18611420394595637,1000,5,220,1e-07
34,3.4e-05,4.6348344225497184,-0.1899150064495146,1000,5,220,1e-07
35,3.5e-05,4.623478408890295,-0.19371580895307283,1000,5,220,1e-07
36,3.6e-05,4.612122395230872,-0.2051182164637475,1000,5,220,1e-07
37,3.7e-05,4.600766381571449,-0.19751661145663105,1000,5,220,1e-07
38,3.8e-05,4.589410367912026,-0.19751661145663105,1000,5,220,1e-07
39,3.9e-05,4.578054354252603,-0.2051182164637475,1000,5,220,1e-07
40,4e-05,4.56669834059318,-0.21271982147086396,1000,5,220,1e-07
41,4.1e-05,4.555342326933757,-0.21271982147086396,1000,5,220,1e-07
42,4.2e-05,4.536415637501385,-0.2165206239744222,1000,5,220,1e-07
43,4.3e-05,4.528844961728437,-0.22032142647798042,1000,5,220,1e-07
44,4.4e-05,4.509918272296065,-0.22412222898153866,1000,5,220,1e-07
45,4.5e-05,4.502347596523116,-0.22412222898153866,1000,5,220,1e-07
46,4.6e-05,4.490991582863693,-0.22792303148509688,1000,5,220,1e-07
47,4.7e-05,4.472064893431321,-0.22792303148509688,1000,5,220,1e-07
48,4.8e-05,4.4682795555448465,-0.23552463649221334,1000,5,220,1e-07
49,4.9e-05,4.453138203998949,-0.23552463649221334,1000,5,220,1e-07
50,5e-05,4.437996852453052,-0.23932543899577158,1000,5,220,1e-07
51,5.1e-05,4.422855500907154,-0.2431262414993298,1000,5,220,1e-07
52,5.2e-05,4.411499487247731,-0.246927044002888,1000,5,220,1e-07
53,5.3e-05,4.396358135701834,-0.25072784650644625,1000,5,220,1e-07
54,5.4e-05,4.385002122042411,-0.2545286490100045,1000,5,220,1e-07
55,5.5e-05,4.362290094723565,-0.2583294515135627,1000,5,220,1e-07
56,5.6e-05,4.347148743177668,-0.26593105652067917,1000,5,220,1e-07
57,5.7e-05,4.335792729518245,-0.26593105652067917,1000,5,220,1e-07
58,5.8e-05,4.3168660400858725,-0.26593105652067917,1000,5,220,1e-07
59,5.9e-05,4.301724688539975,-0.27733346403135384,1000,5,220,1e-07
60,6e-05,4.294154012767026,-0.2811342665349121,1000,5,220,1e-07
61,6.1e-05,4.279012661221129,-0.2811342665349121,1000,5,220,1e-07
62,6.2e-05,4.260085971788757,-0.2849350690384703,1000,5,220,1e-07
63,6.3e-05,4.24494462024286,-0.2849350690384703,1000,5,220,1e-07
64,6.4e-05,4.229803268696962,-0.29253667404558675,1000,5,220,1e-07
65,6.5e-05,4.210876579264591,-0.2887358715420285,1000,5,220,1e-07
66,6.6e-05,4.195735227718693,-0.296337476549145,1000,5,220,1e-07
67,6.7e-05,4.176808538286322,-0.3039390815562614,1000,5,220,1e-07
68,6.8e-05,4.1654525246268985,-0.30773988405981967,1000,5,220,1e-07
69,6.9e-05,4.1503111730810005,-0.30773988405981967,1000,5,220,1e-07
70,7e-05,4.131384483648629,-0.31914229157049434,1000,5,220,1e-07
71,7.1e-05,4.116243132102731,-0.31914229157049434,1000,5,220,1e-07
72,7.2e-05,4.093531104783885,-0.3229430940740526,1000,5,220,1e-07
73,7.3e-05,4.074604415351514,-0.3267438965776108,1000,5,220,1e-07
74,7.4e-05,4.059463063805616,-0.33054469908116907,1000,5,220,1e-07
75,7.5e-05,4.040536374373245,-0.33054469908116907,1000,5,220,1e-07
76,7.6e-05,4.021609684940873,-0.33054469908116907,1000,5,220,1e-07
77,7.7e-05,4.0064683333949755,-0.33434550158472726,1000,5,220,1e-07
78,7.8e-05,3.9875416439626035,-0.34194710659184374,1000,5,220,1e-07
79,7.9e-05,3.9724002924167063,-0.34194710659184374,1000,5,220,1e-07
80,8e-05,3.9534736029843343,-0.34954871159896017,1000,5,220,1e-07
81,8.1e-05,3.930761575665488,-0.3533495141025184,1000,5,220,1e-07
82,8.2e-05,3.915620224119591,-0.35715031660607666,1000,5,220,1e-07
83,8.3e-05,3.896693534687219,-0.35715031660607666,1000,5,220,1e-07
84,8.4e-05,3.8777668452548477,-0.3647519216131931,1000,5,220,1e-07
85,8.5e-05,3.8626254937089497,-0.3609511191096349,1000,5,220,1e-07
86,8.6e-05,3.8399134663901036,-0.3647519216131931,1000,5,220,1e-07
87,8.7e-05,3.8209867769577324,-0.37235352662030957,1000,5,220,1e-07
88,8.8e-05,3.8020600875253603,-0.37615432912386776,1000,5,220,1e-07
89,8.9e-05,3.779348060206514,-0.379955131627426,1000,5,220,1e-07
90,9e-05,3.756636032887668,-0.38375593413098424,1000,5,220,1e-07
91,9.1e-05,3.737709343455296,-0.3875567366345425,1000,5,220,1e-07
92,9.2e-05,3.7187826540229247,-0.3875567366345425,1000,5,220,1e-07
93,9.3e-05,3.6960706267040786,-0.38375593413098424,1000,5,220,1e-07
94,9.4e-05,3.6771439372717065,-0.3913575391381007,1000,5,220,1e-07
95,9.5e-05,3.6582172478393344,-0.39895914414521716,1000,5,220,1e-07
96,9.6e-05,3.6392905584069632,-0.41036155165589183,1000,5,220,1e-07
97,9.7e-05,3.612793193201642,-0.41036155165589183,1000,5,220,1e-07
98,9.8e-05,3.590081165882796,-0.4065607491523336,1000,5,220,1e-07
99,9.9e-05,3.574939814336899,-0.4141623541594501,1000,5,220,1e-07
100,0.0001,3.5597984627910018,-0.4141623541594501,1000,5,220,1e-07
101,0.000101,3.5370864354721556,-0.4141623541594501,1000,5,220,1e-07
102,0.000102,3.5143744081533095,-0.4217639591665665,1000,5,220,1e-07
103,0.000103,3.4954477187209374,-0.429365564173683,1000,5,220,1e-07
104,0.000104,3.4765210292885653,-0.43316636667724123,1000,5,220,1e-07
105,0.000105,3.450023664083245,-0.42556476167012475,1000,5,220,1e-07
106,0.000106,3.431096974650873,-0.43316636667724123,1000,5,220,1e-07
107,0.000107,3.412170285218502,-0.44076797168435766,1000,5,220,1e-07
108,0.000108,3.389458257899655,-0.4445687741879159,1000,5,220,1e-07
109,0.000109,3.3705315684672836,-0.4445687741879159,1000,5,220,1e-07
110,0.00011,3.3440342032619625,-0.45217037919503233,1000,5,220,1e-07
111,0.000111,3.3213221759431164,-0.45217037919503233,1000,5,220,1e-07
112,0.000112,3.2986101486242703,-0.4559711816985906,1000,5,220,1e-07
113,0.000113,3.27211278341895,-0.4559711816985906,1000,5,220,1e-07
114,0.000114,3.249400756100104,-0.46357278670570706,1000,5,220,1e-07
115,0.000115,3.226688728781258,-0.4711743917128235,1000,5,220,1e-07
116,0.000116,3.2077620393488857,-0.46737358920926525,1000,5,220,1e-07
117,0.000117,3.1850500120300396,-0.4711743917128235,1000,5,220,1e-07
118,0.000118,3.1623379847111934,-0.47877599671994,1000,5,220,1e-07
119,0.000119,3.132055281619399,-0.48257679922349817,1000,5,220,1e-07
120,0.00012,3.113128592187027,-0.48257679922349817,1000,5,220,1e-07
121,0.000121,3.090416564868181,-0.49017840423061465,1000,5,220,1e-07
122,0.000122,3.0639191996628607,-0.49397920673417284,1000,5,220,1e-07
123,0.000123,3.0374218344575397,-0.49397920673417284,1000,5,220,1e-07
124,0.000124,3.0184951450251685,-0.49397920673417284,1000,5,220,1e-07
125,0.000125,2.9919977798198474,-0.4977800092377311,1000,5,220,1e-07
126,0.000126,2.9692857525010012,-0.5015808117412893,1000,5,220,1e-07
127,0.000127,2.939003049409207,-0.512983219251964,1000,5,220,1e-07
128,0.000128,2.912505684203886,-0.5091824167484058,1000,5,220,1e-07
129,0.000129,2.8897936568850398,-0.512983219251964,1000,5,220,1e-07
130,0.00013,2.8708669674526686,-0.512983219251964,1000,5,220,1e-07
131,0.000131,2.8443696022473475,-0.5243856267626387,1000,5,220,1e-07
132,0.000132,2.8254429128149763,-0.528186429266197,1000,5,220,1e-07
133,0.000133,2.795160209723181,-0.5319872317697552,1000,5,220,1e-07
134,0.000134,2.772448182404335,-0.528186429266197,1000,5,220,1e-07
135,0.000135,2.745950817199015,-0.5319872317697552,1000,5,220,1e-07
136,0.000136,2.7232387898801687,-0.5319872317697552,1000,5,220,1e-07
137,0.000137,2.7005267625613225,-0.5357880342733133,1000,5,220,1e-07
138,0.000138,2.6740293973560014,-0.5433896392804298,1000,5,220,1e-07
139,0.000139,2.6475320321506812,-0.547190441783988,1000,5,220,1e-07
140,0.00014,2.624820004831835,-0.5433896392804298,1000,5,220,1e-07
141,0.000141,2.602107977512989,-0.547190441783988,1000,5,220,1e-07
142,0.000142,2.5680399365347197,-0.5509912442875463,1000,5,220,1e-07
143,0.000143,2.5377572334429246,-0.5585928492946628,1000,5,220,1e-07
144,0.000144,2.5112598682376044,-0.5547920467911045,1000,5,220,1e-07
145,0.000145,2.4885478409187582,-0.562393651798221,1000,5,220,1e-07
146,0.000146,2.465835813599912,-0.5661944543017792,1000,5,220,1e-07
147,0.000147,2.439338448394592,-0.5699952568053375,1000,5,220,1e-07
148,0.000148,2.4090557453027968,-0.5737960593088957,1000,5,220,1e-07
149,0.000149,2.3863437179839506,-0.5737960593088957,1000,5,220,1e-07
150,0.00015,2.3636316906651045,-0.5813976643160121,1000,5,220,1e-07
151,0.000151,2.3295636496868353,-0.5775968618124538,1000,5,220,1e-07
152,0.000152,2.303066284481515,-0.5775968618124538,1000,5,220,1e-07
153,0.000153,2.280354257162669,-0.5851984668195703,1000,5,220,1e-07
154,0.000154,2.257642229843823,-0.5889992693231286,1000,5,220,1e-07
155,0.000155,2.2311448646385017,-0.5928000718266868,1000,5,220,1e-07
156,0.000156,2.2008621615467074,-0.596600874330245,1000,5,220,1e-07
157,0.000157,2.1743647963413864,-0.596600874330245,1000,5,220,1e-07
158,0.000158,2.144082093249592,-0.6004016768338033,1000,5,220,1e-07
159,0.000159,2.121370065930746,-0.6080032818409197,1000,5,220,1e-07
