,time,V1,V2,sineoutput_freq,sineoutput_amplitude,inductance,capacitance
0,0.0,-0.10440861131617642,4.127796637592633,10000,5,1e-07,1e-07
1,1e-07,-0.10062327342970206,4.116394230081958,10000,5,1e-07,1e-07
2,2e-07,-0.10062327342970206,4.0973902175641665,10000,5,1e-07,1e-07
3,3e-07,-0.0968379355432277,4.0783862050463755,10000,5,1e-07,1e-07
4,4e-07,-0.0968379355432277,4.04797978501791,10000,5,1e-07,1e-07
5,5e-07,-0.09305259765675335,4.028975772500119,10000,5,1e-07,1e-07
6,6e-07,-0.0968379355432277,4.006170957478769,10000,5,1e-07,1e-07
7,7e-07,-0.09305259765675335,3.987166944960978,10000,5,1e-07,1e-07
8,8e-07,-0.0968379355432277,3.964362129939629,10000,5,1e-07,1e-07
9,9e-07,-0.0968379355432277,3.9377565124147216,10000,5,1e-07,1e-07
10,1e-06,-0.0968379355432277,3.9225533024004884,10000,5,1e-07,1e-07
11,1.1e-06,-0.0968379355432277,3.8959476848755807,10000,5,1e-07,1e-07
12,1.2e-06,-0.09305259765675335,3.873142869854232,10000,5,1e-07,1e-07
13,1.3e-06,-0.09305259765675335,3.854138857336441,10000,5,1e-07,1e-07
14,1.4e-06,-0.0968379355432277,3.835134844818649,10000,5,1e-07,1e-07
15,1.5e-06,-0.0968379355432277,3.808529227293741,10000,5,1e-07,1e-07
16,1.6e-06,-0.09305259765675335,3.7781228072652757,10000,5,1e-07,1e-07
17,1.7e-06,-0.0968379355432277,3.755317992243927,10000,5,1e-07,1e-07
18,1.8e-06,-0.09305259765675335,3.736313979726135,10000,5,1e-07,1e-07
19,1.9e-06,-0.089267259770279,3.717309967208344,10000,5,1e-07,1e-07
20,2e-06,-0.09305259765675335,3.694505152186995,10000,5,1e-07,1e-07
21,2.1e-06,-0.09305259765675335,3.671700337165645,10000,5,1e-07,1e-07
22,2.2e-06,-0.089267259770279,3.6488955221442962,10000,5,1e-07,1e-07
23,2.3e-06,-0.089267259770279,3.633692312130063,10000,5,1e-07,1e-07
24,2.4e-06,-0.0968379355432277,3.6070866946051554,10000,5,1e-07,1e-07
25,2.5e-06,-0.089267259770279,3.5804810770802478,10000,5,1e-07,1e-07
26,2.6e-06,-0.089267259770279,3.557676262058899,10000,5,1e-07,1e-07
27,2.7e-06,-0.09305259765675335,3.531070644533991,10000,5,1e-07,1e-07
28,2.8e-06,-0.089267259770279,3.5044650270090836,10000,5,1e-07,1e-07
29,2.9e-06,-0.08548192188380463,3.477859409484176,10000,5,1e-07,1e-07
30,3e-06,-0.089267259770279,3.4512537919592683,10000,5,1e-07,1e-07
31,3.1e-06,-0.08548192188380463,3.4284489769379185,10000,5,1e-07,1e-07
32,3.2e-06,-0.08548192188380463,3.4094449644201275,10000,5,1e-07,1e-07
33,3.3e-06,-0.08548192188380463,3.38283934689522,10000,5,1e-07,1e-07
34,3.4e-06,-0.08548192188380463,3.356233729370312,10000,5,1e-07,1e-07
35,3.5e-06,-0.07791124611085593,3.3296281118454045,10000,5,1e-07,1e-07
36,3.6e-06,-0.08548192188380463,3.299221691816939,10000,5,1e-07,1e-07
37,3.7e-06,-0.07791124611085593,3.2726160742920314,10000,5,1e-07,1e-07
38,3.8e-06,-0.07791124611085593,3.2460104567671237,10000,5,1e-07,1e-07
39,3.9e-06,-0.08169658399733028,3.219404839242216,10000,5,1e-07,1e-07
40,4e-06,-0.07791124611085593,3.1927992217173085,10000,5,1e-07,1e-07
41,4.1e-06,-0.07412590822438156,3.162392801688843,10000,5,1e-07,1e-07
