#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AC1D4D,,,,,
#Date Time: 2020-10-28 18:30:21.431,,,,,
#Sample rate: 160000Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Triangle,,,,,
#Frequency: 100 Hz,,,,,
#Period: 10 ms,,,,,
#Amplitude: 1 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 50 %,,,,,
#Phase: 0 ¡Æ,,,,,
#Wavegen Channel 2: Running,,,,,
#Mode: Simple,,,,,
#Type: DC,,,,,
#Offset: 3 V,,,,,
#Power Supplies: ON,,,,,
#Positive Supply: ON,,,,,
#Voltage: 4 V,,,,,
#Negative Supply: ON,,,,,
#Voltage: -4 V,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),average1,timeaverage,
-0.026983333,1.065260796,0.128402196,1.060787214,-0.026952083,-165.1783805
-0.026977083,1.069046133,0.130475642,1.05975485,-0.026945833,-275.2973008
-0.026970833,1.069046133,0.132894662,1.058034241,-0.026939583,-275.2973008
-0.026964583,1.061475458,0.135313683,1.056313633,-0.026933333,-220.2378407
-0.026958333,1.061475458,0.138423851,1.054937147,-0.026927083,-220.2378407
-0.026952083,1.061475458,0.140497297,1.05356066,-0.026920833,-220.2378407
-0.026945833,1.061475458,0.143607466,1.052184174,-0.026914583,-220.2378407
-0.026939583,1.053904782,0.146372061,1.050807687,-0.026908333,-165.1783805
-0.026933333,1.053904782,0.148099932,1.049775322,-0.026902083,-220.2378407
-0.026927083,1.05769012,0.151210101,1.048398836,-0.026895833,-275.2973008
-0.026920833,1.053904782,0.153629121,1.046678228,-0.026889583,-220.2378407
-0.026914583,1.053904782,0.156393716,1.045301741,-0.026883333,-275.2973008
-0.026908333,1.050119444,0.158812736,1.043581133,-0.026877083,-220.2378407
-0.026902083,1.050119444,0.160540608,1.042204647,-0.026870833,-275.2973008
-0.026895833,1.046334106,0.163650776,1.040484039,-0.026864583,-220.2378407
-0.026889583,1.046334106,0.166069797,1.039107552,-0.026858333,-220.2378407
-0.026883333,1.046334106,0.168143242,1.037731066,-0.026852083,-275.2973008
-0.026877083,1.046334106,0.170562263,1.036010457,-0.026845833,-330.356761
-0.026870833,1.042548768,0.172981283,1.033945728,-0.026839583,-220.2378407
-0.026864583,1.03876343,0.175745877,1.032569241,-0.026833333,-220.2378407
-0.026858333,1.03876343,0.178510472,1.031192755,-0.026827083,-330.356761
-0.026852083,1.03876343,0.181275066,1.029128025,-0.026820833,-275.2973008
-0.026845833,1.034978093,0.183002938,1.027407417,-0.026814583,-275.2973008
-0.026839583,1.034978093,0.185767532,1.025686809,-0.026808333,-330.356761
-0.026833333,1.031192755,0.188532127,1.023622079,-0.026802083,-275.2973008
-0.026827083,1.031192755,0.190951147,1.021901471,-0.026795833,-275.2973008
-0.026820833,1.031192755,0.193715742,1.020180863,-0.026789583,-330.356761
-0.026814583,1.027407417,0.196134762,1.018116133,-0.026783333,-330.356761
-0.026808333,1.023622079,0.198553782,1.016051403,-0.026777083,-275.2973008
-0.026802083,1.027407417,0.201663951,1.014330795,-0.026770833,-385.4162212
-0.026795833,1.023622079,0.203391823,1.011921944,-0.026764583,-330.356761
-0.026789583,1.016051403,0.205810843,1.009857214,-0.026758333,-220.2378407
-0.026783333,1.019836741,0.208575437,1.008480727,-0.026752083,-385.4162212
-0.026777083,1.016051403,0.210303309,1.006071876,-0.026745833,-330.356761
-0.026770833,1.012266065,0.214104626,1.004007146,-0.026739583,-275.2973008
-0.026764583,1.012266065,0.215486924,1.002286538,-0.026733333,-330.356761
-0.026758333,1.012266065,0.218597092,1.000221808,-0.026727083,-330.356761
-0.026752083,1.008480727,0.221707261,0.998157079,-0.026720833,-330.356761
-0.026745833,1.004695389,0.223780707,0.996092349,-0.026714583,-330.356761
-0.026739583,1.004695389,0.225854153,0.994027619,-0.026708333,-330.356761
-0.026733333,1.000910052,0.228964322,0.991962889,-0.026702083,-275.2973008
-0.026727083,1.000910052,0.230692193,0.990242281,-0.026695833,-330.356761
-0.026720833,1.000910052,0.233456788,0.988177551,-0.026689583,-330.356761
-0.026714583,0.993339376,0.236221382,0.986112822,-0.026683333,-275.2973008
-0.026708333,0.993339376,0.238640403,0.984392213,-0.026677083,-330.356761
-0.026702083,0.993339376,0.241404997,0.982327484,-0.026670833,-330.356761
-0.026695833,0.989554038,0.243132869,0.980262754,-0.026664583,-275.2973008
-0.026689583,0.989554038,0.245897463,0.978542146,-0.026658333,-385.4162212
-0.026683333,0.9857687,0.248662058,0.976133294,-0.026652083,-330.356761
-0.026677083,0.981983362,0.251426652,0.974068565,-0.026645833,-275.2973008
-0.026670833,0.981983362,0.253500098,0.972347957,-0.026639583,-330.356761
-0.026664583,0.981983362,0.256264693,0.970283227,-0.026633333,-385.4162212
-0.026658333,0.978198024,0.258683713,0.967874375,-0.026627083,-330.356761
-0.026652083,0.978198024,0.261448307,0.965809646,-0.026620833,-330.356761
-0.026645833,0.974412686,0.263867328,0.963744916,-0.026614583,-330.356761
-0.026639583,0.970627348,0.266286348,0.961680186,-0.026608333,-385.4162212
-0.026633333,0.970627348,0.269050942,0.959271335,-0.026602083,-385.4162212
-0.026627083,0.970627348,0.271124388,0.956862483,-0.026595833,-385.4162212
-0.026620833,0.963056673,0.273197834,0.954453632,-0.026589583,-330.356761
-0.026614583,0.963056673,0.276308003,0.952388902,-0.026583333,-385.4162212
-0.026608333,0.963056673,0.278381449,0.949980051,-0.026577083,-385.4162212
-0.026602083,0.959271335,0.281146043,0.947571199,-0.026570833,-330.356761
-0.026595833,0.955485997,0.283910638,0.94550647,-0.026564583,-330.356761
-0.026589583,0.955485997,0.285984084,0.94344174,-0.026558333,-385.4162212
-0.026583333,0.955485997,0.288403104,0.941032889,-0.026552083,-385.4162212
-0.026577083,0.951700659,0.291513273,0.938624037,-0.026545833,-385.4162212
-0.026570833,0.944129983,0.293932293,0.936215186,-0.026539583,-330.356761
-0.026564583,0.944129983,0.296005739,0.934150456,-0.026533333,-385.4162212
-0.026558333,0.944129983,0.298079185,0.931741605,-0.026527083,-330.356761
-0.026552083,0.940344645,0.301189354,0.929676875,-0.026520833,-385.4162212
-0.026545833,0.936559307,0.303953948,0.927268024,-0.026514583,-330.356761
-0.026539583,0.936559307,0.306718543,0.925203294,-0.026508333,-440.4756813
-0.026533333,0.936559307,0.308791988,0.922450321,-0.026502083,-385.4162212
-0.026527083,0.93277397,0.311211009,0.920041469,-0.026495833,-385.4162212
-0.026520833,0.928988632,0.313284455,0.917632618,-0.026489583,-385.4162212
-0.026514583,0.928988632,0.316740198,0.915223767,-0.026483333,-440.4756813
-0.026508333,0.925203294,0.319159218,0.912470794,-0.026477083,-385.4162212
-0.026502083,0.921417956,0.321578238,0.910061942,-0.026470833,-330.356761
-0.026495833,0.917632618,0.324342833,0.907997213,-0.026464583,-385.4162212
-0.026489583,0.921417956,0.327107427,0.905588361,-0.026458333,-440.4756813
-0.026483333,0.91384728,0.329180873,0.902835388,-0.026452083,-330.356761
-0.026477083,0.91384728,0.331945468,0.900770658,-0.026445833,-440.4756813
-0.026470833,0.906276604,0.334364488,0.898017685,-0.026439583,-385.4162212
-0.026464583,0.910061942,0.336783508,0.895608834,-0.026433333,-440.4756813
-0.026458333,0.906276604,0.339202528,0.892855861,-0.026427083,-440.4756813
-0.026452083,0.902491266,0.341275974,0.890102888,-0.026420833,-440.4756813
-0.026445833,0.898705929,0.343694994,0.887349915,-0.026414583,-385.4162212
-0.026439583,0.898705929,0.347150737,0.884941064,-0.026408333,-440.4756813
-0.026433333,0.898705929,0.349569758,0.882188091,-0.026402083,-550.5946017
-0.026427083,0.891135253,0.352334352,0.878746874,-0.026395833,-385.4162212
-0.026420833,0.891135253,0.354753372,0.876338023,-0.026389583,-495.5351415
-0.026414583,0.891135253,0.356826818,0.873240928,-0.026383333,-495.5351415
-0.026408333,0.883564577,0.358900264,0.870143834,-0.026377083,-385.4162212
-0.026402083,0.879779239,0.362010433,0.867734982,-0.026370833,-440.4756813
-0.026395833,0.879779239,0.364429453,0.864982009,-0.026364583,-440.4756813
-0.026389583,0.875993901,0.366848473,0.862229036,-0.026358333,-440.4756813
-0.026383333,0.872208563,0.368921919,0.859476063,-0.026352083,-385.4162212
-0.026377083,0.872208563,0.371686514,0.857067212,-0.026345833,-440.4756813
-0.026370833,0.868423226,0.374796683,0.854314239,-0.026339583,-440.4756813
-0.026364583,0.86085255,0.37617898,0.851561266,-0.026333333,-330.356761
-0.026358333,0.864637888,0.378943574,0.849496536,-0.026327083,-440.4756813
-0.026352083,0.857067212,0.381362594,0.846743563,-0.026320833,-440.4756813
-0.026345833,0.857067212,0.38343604,0.84399059,-0.026314583,-495.5351415
-0.026339583,0.857067212,0.386546209,0.840893495,-0.026308333,-440.4756813
-0.026333333,0.849496536,0.388965229,0.838140522,-0.026302083,-385.4162212
-0.026327083,0.849496536,0.391038675,0.835731671,-0.026295833,-440.4756813
-0.026320833,0.845711198,0.394494418,0.832978698,-0.026289583,-440.4756813
-0.026314583,0.845711198,0.396913439,0.830225725,-0.026283333,-440.4756813
-0.026308333,0.84192586,0.399332459,0.827472752,-0.026277083,-440.4756813
-0.026302083,0.838140522,0.401751479,0.824719779,-0.026270833,-440.4756813
-0.026295833,0.838140522,0.404170499,0.821966806,-0.026264583,-495.5351415
-0.026289583,0.834355185,0.406589519,0.818869711,-0.026258333,-495.5351415
-0.026283333,0.826784509,0.409354114,0.815772617,-0.026252083,-385.4162212
-0.026277083,0.822999171,0.411081986,0.813363765,-0.026245833,-440.4756813
-0.026270833,0.826784509,0.414192154,0.810610792,-0.026239583,-495.5351415
-0.026264583,0.822999171,0.416611175,0.807513698,-0.026233333,-495.5351415
-0.026258333,0.819213833,0.419030195,0.804416603,-0.026227083,-440.4756813
-0.026252083,0.815428495,0.421794789,0.80166363,-0.026220833,-495.5351415
-0.026245833,0.815428495,0.423868235,0.798566535,-0.026214583,-550.5946017
-0.026239583,0.811643157,0.426287255,0.795125319,-0.026208333,-550.5946017
-0.026233333,0.807857819,0.428706276,0.791684103,-0.026202083,-495.5351415
-0.026227083,0.804072481,0.43147087,0.788587008,-0.026195833,-495.5351415
-0.026220833,0.800287144,0.433544316,0.785489914,-0.026189583,-495.5351415
-0.026214583,0.800287144,0.436654485,0.782392819,-0.026183333,-495.5351415
-0.026208333,0.792716468,0.438727931,0.779295724,-0.026177083,-495.5351415
-0.026202083,0.792716468,0.441492525,0.77619863,-0.026170833,-495.5351415
-0.026195833,0.78893113,0.443911545,0.773101535,-0.026164583,-495.5351415
-0.026189583,0.78893113,0.447021714,0.77000444,-0.026158333,-550.5946017
-0.026183333,0.781360454,0.44909516,0.766563224,-0.026152083,-495.5351415
-0.026177083,0.777575116,0.45151418,0.76346613,-0.026145833,-495.5351415
-0.026170833,0.773789778,0.453933201,0.760369035,-0.026139583,-495.5351415
-0.026164583,0.773789778,0.456697795,0.75727194,-0.026133333,-440.4756813
-0.026158333,0.77000444,0.459116815,0.754518967,-0.026127083,-495.5351415
-0.026152083,0.766219103,0.460844687,0.751421873,-0.026120833,-495.5351415
-0.026145833,0.766219103,0.463954856,0.748324778,-0.026114583,-495.5351415
-0.026139583,0.758648427,0.466373876,0.745227683,-0.026108333,-495.5351415
-0.026133333,0.758648427,0.468792896,0.742130589,-0.026102083,-550.5946017
-0.026127083,0.754863089,0.471557491,0.738689372,-0.026095833,-550.5946017
-0.026120833,0.751077751,0.473630936,0.735248156,-0.026089583,-495.5351415
-0.026114583,0.747292413,0.476395531,0.732151062,-0.026083333,-550.5946017
-0.026108333,0.743507075,0.479851274,0.728709845,-0.026077083,-495.5351415
-0.026102083,0.739721737,0.481233571,0.725612751,-0.026070833,-440.4756813
-0.026095833,0.743507075,0.48434374,0.722859778,-0.026064583,-550.5946017
-0.026089583,0.735936399,0.48676276,0.719418561,-0.026058333,-550.5946017
-0.026083333,0.732151062,0.489181781,0.715977345,-0.026052083,-550.5946017
-0.026077083,0.732151062,0.491600801,0.712536129,-0.026045833,-550.5946017
-0.026070833,0.724580386,0.493674247,0.709094913,-0.026039583,-440.4756813
-0.026064583,0.720795048,0.496784416,0.70634194,-0.026033333,-440.4756813
-0.026058333,0.71700971,0.499203436,0.703588967,-0.026027083,-440.4756813
-0.026052083,0.71700971,0.501276882,0.700835994,-0.026020833,-550.5946017
-0.026045833,0.709439034,0.503695902,0.697394777,-0.026014583,-440.4756813
-0.026039583,0.709439034,0.506806071,0.694641804,-0.026008333,-495.5351415
-0.026033333,0.709439034,0.509225091,0.69154471,-0.026002083,-550.5946017
-0.026027083,0.705653696,0.511644111,0.688103493,-0.025995833,-550.5946017
-0.026020833,0.698083021,0.514063131,0.684662277,-0.025989583,-495.5351415
-0.026014583,0.694297683,0.516482151,0.681565183,-0.025983333,-495.5351415
-0.026008333,0.694297683,0.519246746,0.678468088,-0.025977083,-550.5946017
-0.026002083,0.694297683,0.521665766,0.675026872,-0.025970833,-605.6540618
