#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-11-12 16:24:26.125
#Sample rate: 202429Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 ¡Æ
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.02023177,-0.1876860448186136,-0.6073255193076559
-0.02022683,-0.180115369045662,-0.6066343706786433
-0.02022189,-0.1725446932727157,-0.6059432220496312
-0.02021695,-0.1725446932727149,-0.6049064991061125
-0.02021201,-0.1725446932727149,-0.6045609247916064
-0.02020707,-0.1649740174997649,-0.6042153504771
-0.02020213,-0.1611886796132917,-0.6031786275335818
-0.02019719,-0.1536180038403454,-0.6021419045900636
-0.02019225,-0.1574033417268169,-0.6014507559610509
-0.02018731,-0.1498326659538706,-0.6007596073320388
-0.02018237,-0.1460473280673938,-0.6000684587030263
-0.02017743,-0.1422619901809207,-0.5997228843885203
-0.02017249,-0.1384766522944449,-0.5986861614450014
-0.02016755,-0.1346913144079718,-0.5973038641869772
-0.02016261,-0.1309059765214959,-0.5966127155579645
-0.02015767,-0.1271206386350228,-0.5962671412434585
-0.02015273,-0.1157646249756007,-0.5955759926144457
-0.02014779,-0.1195499628620739,-0.5941936953564215
-0.02014285,-0.1157646249756007,-0.5931569724129033
-0.02013791,-0.1119792870891249,-0.5921202494693844
-0.02013297,-0.1081939492026518,-0.5907379522113602
-0.02012803,-0.1006232734297016,-0.5897012292678412
-0.02012309,-0.09683793554322846,-0.5890100806388291
-0.02011815,-0.09305259765675265,-0.5876277833808041
-0.02011321,-0.08926725977027951,-0.5862454861227799
-0.02010827,-0.08548192188380274,-0.5852087631792608
-0.02010333,-0.07791124611085647,-0.5838264659212367
-0.02009839,-0.07412590822438275,-0.5824441686632112
-0.02009345,-0.07791124611085591,-0.5807162970906811
-0.02008851,-0.07412590822438282,-0.5796795741471629
-0.02008357,-0.06655523245143247,-0.576914979631113
-0.02007863,-0.05898455667848617,-0.5748415337440768
-0.02007369,-0.05898455667848371,-0.5734592364860513
-0.02006875,-0.05519921879201057,-0.571385790599015
-0.02006381,-0.05141388090553476,-0.5689667703974709
-0.02005887,-0.04762854301906162,-0.5665477501959285
-0.02005393,-0.04384320513258581,-0.5637831556798781
-0.02004899,-0.04005786724611267,-0.5606729868493237
-0.02004405,-0.03248719147316365,-0.5568716693897547
-0.02003911,-0.03248719147316365,-0.5541070748737063
-0.02003417,-0.0249165157002175,-0.5496146087851277
-0.02002923,-0.02113117781374041,-0.5437398454385209
-0.02002429,-0.01734583992726727,-0.5364827848338938
-0.02001935,-0.01356050204079146,-0.5295712985437673
-0.02001441,-0.009775164154318321,-0.5181673461650675
-0.02000947,-0.009775164154316875,-0.4967417386656772
-0.02000453,-0.005989826267843728,-0.4632210301585899
-0.01999959,-0.002204488381369657,-0.4303914702805015
-0.01999465,-0.005989826267842802,-0.4411042740301891
-0.01998971,-0.009775164154318606,-0.4891391037465563
-0.01998477,-0.01356050204079175,-0.5205863663666073
-0.01997983,-0.02113117781373793,-0.5364827848338862
-0.01997489,-0.02491651570021506,-0.5447765683820399
-0.01996995,-0.0287018535866882,-0.5492690344706186
-0.01996501,-0.02870185358668965,-0.5537615005592006
-0.01996007,-0.03248719147316279,-0.5582539666477793
-0.01995513,-0.04005786724611355,-0.5620552841073484
-0.01995019,-0.04762854301905983,-0.5641287299943847
-0.01994525,-0.05141388090553626,-0.5672388988249412
-0.01994031,-0.0551992187920094,-0.5700034933409895
-0.01993537,-0.05141388090553755,-0.5713857905990153
-0.01993043,-0.05898455667848385,-0.5741503851150638
-0.01992549,-0.0627698945649611,-0.5758782566875953
-0.01992055,-0.07034057033790739,-0.5776061282601255
-0.01991561,-0.07791124611085368,-0.5793339998326558
-0.01991067,-0.07791124611085626,-0.5810618714051873
-0.01990573,-0.08169658399732939,-0.5827897429777176
-0.01990079,-0.0854819218838052,-0.5841720402357429
-0.01989585,-0.08926725977027834,-0.5855543374937671
-0.01989091,-0.09305259765675415,-0.5869366347517923
-0.01988597,-0.0968379355432273,-0.5879733576953103
-0.01988103,-0.1006232734297031,-0.5886645063243231
-0.01987609,-0.1044086113161762,-0.5900468035823474
-0.01987115,-0.1119792870891239,-0.5917746751548785
-0.01986621,-0.1081939492026508,-0.5921202494693845
-0.01986127,-0.111979287089124,-0.5935025467274087
-0.01985633,-0.1195499628620744,-0.5941936953564216
-0.01985139,-0.1271206386350207,-0.5955759926144458
-0.01984645,-0.1271206386350231,-0.5962671412434586
-0.01984151,-0.1309059765214962,-0.5973038641869768
-0.01983657,-0.1309059765214984,-0.5983405871304955
-0.01983163,-0.1384766522944447,-0.5986861614450016
-0.01982669,-0.142261990180921,-0.5993773100740142
-0.01982175,-0.1460473280673941,-0.6004140330175324
-0.01981681,-0.1536180038403431,-0.601450755961051
-0.01981187,-0.1536180038403431,-0.6017963302755571
-0.01980693,-0.1574033417268162,-0.6028330532190753
-0.01980199,-0.1649740174997661,-0.6031786275335819
-0.01979705,-0.1649740174997661,-0.6042153504771001
-0.01979211,-0.1687593553862415,-0.6045609247916065
-0.01978717,-0.1763300311591877,-0.6055976477351247
-0.01978223,-0.1801153690456643,-0.6066343706786436
-0.01977729,-0.1839007069321374,-0.6069799449931496
-0.01977235,-0.1876860448186142,-0.607325519307656
-0.01976741,-0.1952567205915605,-0.6083622422511742
-0.01976247,-0.1952567205915622,-0.6087078165656806
-0.01975753,-0.1990420584780353,-0.6093989651946927
-0.01975259,-0.2028273963645085,-0.6100901138237048
-0.01974765,-0.2066127342509845,-0.6104356881382113
-0.01974271,-0.2141834100239308,-0.6111268367672233
-0.01973777,-0.2141834100239337,-0.6118179853962359
-0.01973283,-0.2217540857968799,-0.612163559710742
-0.01972789,-0.2217540857968822,-0.6128547083397545
-0.01972295,-0.2255394236833553,-0.6135458569687666
-0.01971801,-0.2331100994563055,-0.6138914312832731
-0.01971307,-0.2368954373427786,-0.6142370055977791
-0.01970813,-0.2406807752292544,-0.6149281542267915
-0.01970319,-0.2444661131157276,-0.6152737285412976
-0.01969825,-0.2482514510022007,-0.6156193028558036
-0.01969331,-0.2482514510022023,-0.6159648771703099
