#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-11-05 18:15:54.122
#Sample rate: 136986Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: DC
#Offset: -2.5 V
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Triangle
#Frequency: 40 Hz
#Period: 25 ms
#Amplitude: 1 V
#Offset: -1 V
#Symmetry: 50 %
#Phase: 0 ¡Æ

Time (s),Channel 1 (V),Channel 2 (V)
-0.009256400000000001,-0.8084814582004072,-0.1141909725073575
-0.009249100000000001,-0.8046961203139329,-0.1145365468218637
-0.009241800000000001,-0.8046961203139326,-0.1145365468218637
-0.009234500000000001,-0.8046961203139326,-0.1141909725073576
-0.009227200000000001,-0.8046961203139326,-0.1141909725073575
-0.009219900000000001,-0.8009107824274585,-0.1138453981928514
-0.009212600000000001,-0.8009107824274582,-0.1138453981928514
-0.009205300000000001,-0.8009107824274582,-0.1131542495638391
-0.009198000000000001,-0.8009107824274582,-0.113154249563839
-0.009190700000000001,-0.7971254445409841,-0.1128086752493329
-0.009183400000000001,-0.7971254445409838,-0.1128086752493329
-0.009176100000000001,-0.7971254445409838,-0.113154249563839
-0.009168800000000001,-0.7933401066545098,-0.1121175266203206
-0.009161500000000001,-0.7895547687680354,-0.1121175266203205
-0.009154200000000001,-0.7895547687680351,-0.1117719523058144
-0.009146900000000001,-0.7895547687680351,-0.1124631009348267
-0.009139600000000001,-0.7933401066545093,-0.1117719523058144
-0.009132300000000001,-0.7895547687680353,-0.1117719523058144
-0.009125000000000001,-0.7857694308815609,-0.1117719523058144
-0.009117700000000001,-0.7857694308815607,-0.1110808036768021
-0.009110400000000001,-0.7819840929950866,-0.1107352293622959
-0.009103100000000001,-0.7781987551086123,-0.1114263779913082
-0.009095800000000001,-0.7819840929950862,-0.1107352293622959
-0.009088500000000001,-0.7819840929950864,-0.111080803676802
-0.009081200000000001,-0.7781987551086123,-0.1107352293622959
-0.009073900000000001,-0.778198755108612,-0.1103896550477897
-0.009066600000000001,-0.778198755108612,-0.1100440807332836
