#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-11-12 17:19:44.464
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1.5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ¡Æ
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 2.5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.00511875,-1.024245717729445,-0.1519069814139323
-0.0051175,-1.020460379842969,-0.1519069814139312
-0.00511625,-1.012889704070023,-0.1481061789103745
-0.005115,-1.005319028297071,-0.1519069814139323
-0.00511375,-0.990177676751179,-0.1519069814139323
-0.0051125,-0.9863923388647003,-0.1443053764068154
-0.00511125,-0.9750363252052817,-0.1405045739032586
-0.00511,-0.9674656494323294,-0.1405045739032575
-0.00510875,-0.9523242978864311,-0.136703771399702
-0.0051075,-0.9485389599999583,-0.1443053764068155
-0.00510625,-0.9409682842270065,-0.1367037713996994
-0.005105,-0.9296122705675878,-0.1367037713996994
-0.00510375,-0.9220415947946342,-0.1329029688961411
-0.0051025,-0.9031149053622698,-0.1329029688961411
-0.00510125,-0.8955442295893171,-0.1329029688961408
-0.0051,-0.8955442295893171,-0.129102166392584
-0.00509875,-0.8804028780434195,-0.129102166392583
-0.0050975,-0.8690468643839941,-0.1367037713996945
-0.00509625,-0.8614761886110485,-0.1215005613854675
-0.005095,-0.8501201749516222,-0.1215005613854665
-0.00509375,-0.8387641612922034,-0.1215005613854665
-0.0050925,-0.8311934855192518,-0.1215005613854671
-0.00509125,-0.8236228097463061,-0.1253013638890238
-0.00509,-0.8160521339733547,-0.1215005613854662
-0.00508875,-0.8046961203139361,-0.1176997588819094
-0.0050875,-0.7933401066545096,-0.11389895637835
-0.00508625,-0.7819840929950819,-0.1138989563783477
-0.005085,-0.7668427414491903,-0.1062973513712342
-0.00508375,-0.7630574035627138,-0.110098153874791
-0.0050825,-0.7592720656762409,-0.1062973513712342
-0.00508125,-0.7441307141303413,-0.106297351371233
-0.00508,-0.7327747004709226,-0.1024965488676763
-0.00507875,-0.72520402469797,-0.0986957463641171
-0.0050775,-0.7062773352656055,-0.0986957463641171
-0.00507625,-0.6987066594926508,-0.0986957463641171
-0.005075,-0.6873506458332242,-0.0986957463641171
-0.00507375,-0.6759946321738056,-0.0986957463641171
-0.0050725,-0.6684239564008534,-0.09489494386055887
-0.00507125,-0.6570679427414347,-0.09489494386055887
-0.00507,-0.6419265911955343,-0.0910941413570002
-0.00506875,-0.6343559154225884,-0.08729333885344344
-0.0050675,-0.6267852396496373,-0.08729333885344255
-0.00506625,-0.6154292259902108,-0.09109414135700064
-0.005065,-0.6040732123307921,-0.09109414135700064
-0.00506375,-0.596502536557839,-0.08729333885344241
-0.0050625,-0.5813611850119473,-0.08729333885344241
-0.00506125,-0.5700051713525204,-0.08349253634988418
-0.00506,-0.5586491576931016,-0.08349253634988418
-0.00505875,-0.5472931440336755,-0.07969173384632595
-0.0050575,-0.5397224682607298,-0.07969173384632595
-0.00505625,-0.5283664546013043,-0.07589093134276773
-0.005055,-0.5170104409418778,-0.0758909313427665
-0.00505375,-0.5056544272824591,-0.07209012883920975
-0.0050525,-0.4980837515095059,-0.06828932633565035
-0.00505125,-0.4829423999636144,-0.06448852383209359
-0.00505,-0.4753717241906616,-0.06068772132853481
-0.00504875,-0.464015710531243,-0.06068772132853481
-0.0050475,-0.4488743589853418,-0.06448852383209246
-0.00504625,-0.4337330074394502,-0.05688691882497894
-0.005045,-0.4261623316664969,-0.05688691882497658
-0.00504375,-0.4148063180070715,-0.06068772132853251
-0.0050425,-0.4072356422341257,-0.05308611632141901
-0.00504125,-0.3920942906882243,-0.05308611632141836
-0.00504,-0.3769529391423327,-0.05308611632141836
-0.00503875,-0.3693822633693793,-0.0454845113143019
-0.0050375,-0.3542409118234878,-0.0454845113143019
-0.00503625,-0.3466702360505349,-0.0530861163214177
-0.005035,-0.3390995602775891,-0.04168370881074744
-0.00503375,-0.3239582087316896,-0.04548451131430181
-0.0050325,-0.3126021950722607,-0.03788290630718544
-0.00503125,-0.2936755056398963,-0.03788290630718544
-0.00503,-0.2823194919804697,-0.03408210380362798
-0.00502875,-0.2747488162075239,-0.03788290630718474
-0.0050275,-0.2671781404345719,-0.02648049879651076
-0.00502625,-0.2520367888886804,-0.02648049879651076
-0.005025,-0.2444661131157271,-0.03028130130006913
-0.00502375,-0.2293247615698263,-0.0340821038036233
-0.0050225,-0.2179687479104077,-0.02267969629295303
-0.00502125,-0.2103980721374545,-0.02267969629295353
-0.00502,-0.1952567205915629,-0.02648049879651028
-0.00501875,-0.1801153690456629,-0.01887889378939499
-0.0050175,-0.17633003115919,-0.02267969629295175
-0.00501625,-0.1611886796132903,-0.0150780912858357
-0.005015,-0.1460473280673987,-0.01127728878227894
-0.00501375,-0.1384766522944454,-0.01127728878227778
-0.0050125,-0.1233353007485421,-0.007476486278720849
-0.00501125,-0.1044086113161776,-0.0112772887822776
-0.00501,-0.1044086113161728,-0.01507809128583423
-0.00500875,-0.0892672597702812,-0.007476486278720718
-0.0050075,-0.07412590822438096,-0.007476486278719004
-0.00500625,-0.07034057033790808,-0.003675683775162249
-0.005005,-0.05141388090553483,0.003925921231954766
-0.00500375,-0.04384320513258905,0.000125118728398011
-0.0050025,-0.02491651570021497,0.003925921231955062
-0.00500125,-0.01734583992726392,0.003925921231956226
-0.005,-0.009775164154318136,0.007726723735512981
-0.00499875,0.00915152527805597,0.007726723735514145
-0.0049975,0.01672220105100175,0.0115275262390709
-0.00499625,0.02807821471042714,0.01532832874263083
-0.004995,0.03564889048337291,0.02292993374974434
-0.00499375,0.05079024202927289,0.02292993374974621
-0.0049925,0.06214625568869156,0.02292993374974621
-0.00499125,0.08107294512106666,0.02673073625330435
-0.00499,0.09242895878049229,0.02292993374974729
-0.00498875,0.09999963455343808,0.02673073625330405
-0.0049875,0.111355648212865,0.03053153875686267
-0.00498625,0.1264969997587566,0.03053153875686267
-0.004985,0.1378530134181838,0.02673073625330444
-0.00498375,0.1492090270776025,0.02673073625330444
-0.0049825,0.1643503786235032,0.03053153875686297
-0.00498125,0.1719210543964582,0.03813314376397781
-0.00498,0.1908477438288226,0.03433234126042106
-0.00497875,0.2059890953747218,0.03813314376397912
-0.0049775,0.2097744332611947,0.03813314376397912
-0.00497625,0.2173451090341467,0.04193394626753805
