#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-11-19 16:26:24.291
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ¡Æ
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.005119736842105264,-0.7315859776986781,-0.7144535568045671
-0.005118486842105263,-0.7236773593092327,-0.7078876448289499
-0.005117236842105263,-0.7174880057870554,-0.7013217328533301
-0.005115986842105263,-0.7112986522648836,-0.695446969506728
-0.005114736842105263,-0.7064847106365256,-0.6892266318456171
-0.005113486842105264,-0.7013269160347134,-0.6833518684990122
-0.005112236842105263,-0.6951375625125389,-0.6764403822088889
-0.005110986842105264,-0.6872289441230971,-0.6691833216042627
-0.005109736842105263,-0.6803518846540108,-0.6633085582576546
-0.005108486842105263,-0.6741625311318331,-0.6574337949110461
-0.005107236842105263,-0.6676293246362074,-0.649485585677408
-0.005105986842105263,-0.6614399711140302,-0.6429196737017882
-0.005104736842105263,-0.6555944705653124,-0.637044910355186
-0.005103486842105263,-0.6483735581227754,-0.6297878497505566
-0.005102236842105264,-0.6404649397333301,-0.6218396405169148
-0.005100986842105263,-0.6346194391846097,-0.6163104514848161
-0.005099736842105264,-0.6277423797155299,-0.6097445395092019
-0.005098486842105263,-0.6205214672729898,-0.6021419045900633
-0.005097236842105263,-0.6157075256446287,-0.5959215669289488
-0.005095986842105263,-0.6088304661755489,-0.5883189320098167
-0.005094736842105263,-0.6016095537330086,-0.5814074457196899
-0.005093486842105263,-0.594388641290475,-0.5738048108005577
-0.005092236842105263,-0.5875115818213921,-0.5672388988249406
-0.005090986842105264,-0.5789152574850424,-0.5603274125348203
-0.005089736842105263,-0.5720381980159557,-0.5527247776156816
-0.005088486842105264,-0.5648172855734219,-0.5461588656400674
-0.005087236842105263,-0.5579402261043358,-0.5382106564064226
-0.005085986842105263,-0.5524385785290665,-0.5316447444308022
-0.005084736842105263,-0.5459053720334408,-0.5243876838261761
-0.005083486842105263,-0.5383406066174496,-0.5171306232215466
-0.005082236842105264,-0.5307758412014585,-0.509527988302411
-0.005080986842105263,-0.5238987817323756,-0.5029620763267938
-0.005079736842105264,-0.51392704550221,-0.4946682927786496
-0.005078486842105263,-0.5063622800862143,-0.486720083545004
-0.005077236842105264,-0.5001729265640424,-0.4804997458838958
-0.005075986842105263,-0.4943274260153193,-0.4725515366502512
-0.005074736842105263,-0.488138072493141,-0.464948901731112
-0.005073486842105263,-0.4798856011302453,-0.4570006924974738
-0.005072236842105263,-0.4712892767938917,-0.4493980575783381
-0.005070986842105264,-0.4626929524575382,-0.4417954226592025
-0.005069736842105263,-0.455128187041547,-0.4341927877400668
-0.005068486842105264,-0.4472195686521053,-0.4272813014499467
-0.005067236842105263,-0.438279391342294,-0.4189875179017956
-0.005065986842105263,-0.4324338907935709,-0.4113848829826565
-0.005064736842105263,-0.4265883902448531,-0.4037822480635243
-0.005063486842105263,-0.4190236248288577,-0.3954884645153725
-0.005062236842105263,-0.4097395945456001,-0.3871946809672283
-0.005060986842105263,-0.4028625350765173,-0.3809743433061173
-0.005059736842105264,-0.3935785047932554,-0.3716438368144508
-0.005058486842105263,-0.3856698864038101,-0.3640412018953152
-0.005057236842105264,-0.3784489739612764,-0.3574752899197011
-0.005055986842105263,-0.3691649436780112,-0.3484903577425378
-0.005054736842105263,-0.3619440312354717,-0.3401965741943864
-0.005053486842105263,-0.3564423836602079,-0.3325939392752542
-0.005052236842105263,-0.3485337652707587,-0.3246457300416086
-0.005050986842105263,-0.3399374409344091,-0.3163519464934644
-0.005049736842105263,-0.3316849695715096,-0.3094404602033411
-0.005048486842105264,-0.3217132333413441,-0.3014922509697029
-0.005047236842105263,-0.3141484679253483,-0.2928528931070452
-0.005045986842105264,-0.3076152614297226,-0.2845591095589009
-0.005044736842105263,-0.2997066430402743,-0.2762653260107492
-0.005043486842105263,-0.2924857305977337,-0.2683171167771036
-0.005042236842105263,-0.284577112208292,-0.2600233332289594
-0.005040986842105263,-0.2756369348984843,-0.2520751239953176
-0.005039736842105264,-0.2663529046152224,-0.2434357661326634
-0.005038486842105263,-0.258100433252323,-0.2354875568990216
-0.005037236842105264,-0.2512233737832432,-0.2282304962943955
-0.005035986842105263,-0.243658608367249,-0.2192455641172318
-0.005034736842105264,-0.2343745780839913,-0.2102606319400756
-0.005033486842105263,-0.2264659596945418,-0.2030035713354421
-0.005032236842105263,-0.2185573413050925,-0.19470978778729
-0.005030986842105263,-0.2096171639952888,-0.1857248556101338
-0.005029736842105263,-0.2030839574996601,-0.1788133693200105
-0.005028486842105264,-0.1944876331633065,-0.1712107344008749
-0.005027236842105263,-0.1848597499065905,-0.1608435049656899
-0.005025986842105264,-0.1776388374640568,-0.1525497214175457
-0.005024736842105263,-0.1700740720480624,-0.1452926608129124
-0.005023486842105263,-0.1607900417647964,-0.1363077286357484
-0.005022236842105263,-0.1518498644549928,-0.1280139450876042
-0.005020986842105263,-0.144628952012452,-0.1204113101684641
-0.005019736842105263,-0.1363764806495563,-0.1107352293622959
-0.005018486842105263,-0.1281240092866569,-0.1038237430721726
-0.005017236842105264,-0.1198715379237575,-0.09622110815303692
-0.005015986842105263,-0.1105875076404956,-0.08619945303235811
-0.005014736842105264,-0.1033665951979619,-0.07721452085520189
-0.005013486842105263,-0.09580182978196745,-0.0703030345650745
-0.005012236842105263,-0.08651779949870138,-0.06166367670241628
-0.005010986842105263,-0.07723376921544373,-0.05267874452526006
-0.005009736842105263,-0.07035670974635712,-0.04611283254963851
-0.005008486842105263,-0.06210423838346144,-0.03643675174347028
-0.005007236842105263,-0.05247635512674542,-0.02745181956630997
-0.005005986842105264,-0.04388003079039185,-0.01984918464717433
-0.005004736842105263,-0.03528370645403826,-0.01120982678452019
-0.005003486842105264,-0.02771894103805056,-0.002570468921869984
-0.005002236842105263,-0.02152958751587255,0.005032165997269586
-0.005000986842105263,-0.01362096912642256,0.01332594954542164
-0.004999736842105263,-0.00330537992280296,0.02231088172257786
-0.004998486842105263,0.006322503333913048,0.03060466527072584
-0.004997236842105264,0.01526268064372077,0.03889844881887381
-0.004995986842105263,0.0235151520066202,0.04822895531054028
-0.004994736842105264,0.03004835850224595,0.05652273885868449
-0.004993486842105263,0.03692541797133178,0.06377979946331773
-0.004992236842105264,0.04517788933422746,0.07138243438244991
-0.004990986842105263,0.05308650772367651,0.08140408950313217
-0.004989736842105263,0.06099512611312618,0.08900672442227174
-0.004988486842105263,0.0706230093698378,0.09764608228492196
-0.004987236842105263,0.08128245154691624,0.1062854401475761
-0.004985986842105264,0.08919106993636153,0.1131969264376994
-0.004984736842105263,0.09675583535235267,0.1221818586148597
-0.004983486842105264,0.1032890418479784,0.1304756421630039
-0.004982236842105263,0.1111976602374267,0.1387694257111556
-0.004980986842105263,0.119106278626876,0.1474087835738134
-0.004979736842105263,0.1280464559366797,0.1553569928074516
-0.004978486842105263,0.1366427802730378,0.163650776355603
-0.004977236842105263,0.1466145165032034,0.1712534112747352
-0.004975986842105263,0.1555546938130112,0.1798927691373893
-0.004974736842105264,0.1631194592290023,0.1888777013145497
-0.004973486842105263,0.1699965186980852,0.1961347619191791
-0.004972236842105264,0.1779051370875268,0.2054652684108414
-0.004970986842105263,0.1858137554769757,0.2134134776444874
-0.004969736842105263,0.1933785208929709,0.2203249639346148
-0.004968486842105263,0.2023186982027746,0.229309896111771
-0.004967236842105263,0.2112588755125862,0.2382948282889346
-0.004965986842105263,0.2198551998489359,0.2455518888935608
-0.004964736842105263,0.2298269360791061,0.2541912467562149
-0.004963486842105264,0.2373917014950972,0.2628306046188691
-0.004962236842105263,0.2428933490703635,0.2700876652234985
-0.004960986842105264,0.2511458204332592,0.2783814487716427
-0.004959736842105263,0.2611175566634331,0.2866752323197945
-0.004958486842105263,0.2690261750528818,0.2953145901824517
-0.004957236842105263,0.2765909404688695,0.3018805021580658
-0.004955986842105263,0.2841557058848607,0.3105198600207199
-0.004954736842105264,0.2917204713008518,0.3188136435688679
-0.004953486842105263,0.2996290896902971,0.3260707041734974
-0.004952236842105264,0.3085692670001008,0.3347100620361476
-0.004950986842105263,0.316134032416096,0.3423126969552872
-0.004949736842105264,0.3240426508055377,0.3502609061889254
-0.004948486842105263,0.3316074162215324,0.3589002640515831
-0.004947236842105263,0.3388283286640725,0.3668484732852279
-0.004945986842105263,0.3457053881331523,0.373414385260842
-0.004944736842105263,0.3543017124695059,0.3813625944944838
-0.004943486842105264,0.3632418897793136,0.3903475266716441
-0.004942236842105263,0.3711505081687589,0.3976045872762736
-0.004940986842105264,0.3783714206112926,0.4048616478808998
-0.004939736842105263,0.3862800390007411,0.4124642828000388
-0.004938486842105264,0.3931570984698209,0.420412492033677
-0.004937236842105263,0.4007218638858152,0.4280151269528162
-0.004935986842105263,0.4086304822752639,0.4356177618719553
-0.004934736842105263,0.4161952476912516,0.4432203967910875
-0.004933486842105263,0.4241038660806969,0.4508230317102231
-0.004932236842105264,0.4323563374435964,0.458771240943865
-0.004930986842105263,0.4406088088064958,0.4660283015484944
-0.004929736842105264,0.4481735742224835,0.4732853621531206
-0.004928486842105263,0.4550506336915698,0.4812335713867657
-0.004927236842105263,0.461583840187201,0.4888362063059042
-0.004925986842105263,0.4670854877624648,0.4950565439670123
-0.004924736842105263,0.4756818120988222,0.5033503275151637
-0.004923486842105263,0.4839342834617178,0.5109529624342959
-0.004922236842105263,0.491499048877709,0.517173300095407
-0.004920986842105264,0.5004392261875167,0.5254670836435549
-0.004919736842105263,0.5076601386300537,0.5334152928771967
-0.004918486842105264,0.5141933451256794,0.5392900562237989
-0.004917236842105263,0.5210704045947653,0.5472382654574434
-0.004915986842105263,0.5282913170373049,0.5541497517475694
-0.004914736842105263,0.5341368175860227,0.5603700894086776
-0.004913486842105263,0.5423892889489257,0.5686638729568286
-0.004912236842105264,0.5502979073383675,0.5755753592469489
-0.004910986842105263,0.5568311138339962,0.5828324198515784
-0.004909736842105264,0.5623327614092599,0.5890527575126866
-0.004908486842105263,0.5705852327721619,0.5956186694883064
-0.004907236842105264,0.5774622922412416,0.6032213044074387
-0.004905986842105263,0.5836516457634193,0.6097872163830593
-0.004904736842105263,0.5908725582059597,0.6170442769876918
-0.004903486842105263,0.5984373236219475,0.6239557632778121
-0.004902236842105263,0.6053143830910304,0.6298305266244169
-0.004900986842105264,0.6121914425601132,0.6367420129145401
-0.004899736842105263,0.6173492371619254,0.6433079248901573
-0.004898486842105264,0.6231947377106432,0.6495282625512655
-0.004897236842105263,0.6307595031266369,0.6567853231558978
-0.004895986842105264,0.6383242685426246,0.663351235131512
-0.004894736842105263,0.6445136220648027,0.6695715727926259
-0.004893486842105263,0.6507029755869803,0.6764830590827517
-0.004892236842105263,0.6575800350560601,0.6820122481148478
-0.004890986842105263,0.6630816826313264,0.6896148830339836
-0.004889736842105264,0.6685833302065927,0.6954896463805883
-0.004888486842105263,0.6758042426491296,0.7020555583562055
-0.004887236842105264,0.6816497431978474,0.7079303217028077
-0.004885986842105263,0.6888706556403871,0.7138050850494151
-0.004884736842105263,0.696779274029835,0.7210621456540471
-0.004883486842105263,0.7022809216050987,0.7265913346861432
-0.004882236842105263,0.707094863233459,0.7321205237182445
-0.004880986842105263,0.7122526578352688,0.7379952870648467
-0.004879736842105263,0.7177543054105351,0.7445611990404638
-0.004878486842105264,0.724631364879618,0.751127111016081
-0.004877236842105263,0.7325399832690632,0.7566563000481796
-0.004875986842105264,0.738385483817781,0.7625310633947818
-0.004874736842105263,0.7442309843665041,0.7677146781123769
-0.004873486842105263,0.7490449259948647,0.7728982928299724
-0.004872236842105263,0.7545465735701284,0.7794642048055865
-0.004870986842105263,0.7597043681719431,0.7846478195231817
-0.004869736842105264,0.7652060157472068,0.7905225828697838
-0.004868486842105263,0.7713953692693815,0.7963973462163887
-0.004867236842105264,0.7775847227915532,0.8026176838774969
-0.004865986842105263,0.7844617822606389,0.807455724280586
-0.004864736842105264,0.7899634298359026,0.8126393389981761
-0.004863486842105263,0.7937458125439008,0.8174773794012647
-0.004862236842105263,0.7992474601191698,0.8223154198043539
-0.004860986842105263,0.8054368136413416,0.828535757465462
-0.004859736842105263,0.8102507552696996,0.8337193721830546
-0.004858486842105264,0.8154085498715118,0.8385574125861409
-0.004857236842105263,0.8209101974467781,0.8437410273037333
-0.004855986842105264,0.8260679920485878,0.8492702163358294
-0.004854736842105263,0.8319134925973106,0.8537626824244121
-0.004853486842105264,0.8363835812522125,0.8589462971420023
-0.004852236842105263,0.8411975228805725,0.8641299118595971
-0.004850986842105263,0.8449799055885703,0.8679312293191676
-0.004849736842105263,0.8497938472169261,0.8738059926657697
-0.004848486842105263,0.8552954947921924,0.8786440330688561
-0.004847236842105264,0.8594217304736421,0.8817542018994116
-0.004845986842105263,0.8635479661550918,0.8872833909315102
-0.004844736842105264,0.8693934667038096,0.8921214313345943
-0.004843486842105263,0.8742074083321703,0.8969594717376829
-0.004842236842105263,0.8783336440136218,0.9007607891972526
-0.004840986842105263,0.8824598796950697,0.9049076809713247
-0.004839736842105263,0.8879615272703378,0.909745721374413
-0.004838486842105263,0.8920877629517857,0.9142381874629911
-0.004837236842105263,0.8969017045801436,0.9183850792370651
-0.004835986842105264,0.9003402343146851,0.9228775453256453
-0.004834736842105263,0.9027472051288641,0.9252965655271884
-0.004833486842105264,0.9072172937837659,0.9308257545592845
-0.004832236842105263,0.9127189413590343,0.9353182206478672
-0.004830986842105263,0.9165013240670318,0.9380828151639181
-0.004829736842105263,0.9209714127219337,0.9415385583089781
-0.004828486842105263,0.9244099424564766,0.9453398757685475
-0.004827236842105263,0.9275046192175624,0.9484500445991015
-0.004825986842105263,0.9323185608459205,0.953633659316694
-0.004824736842105264,0.9364447965273682,0.95743497677626
-0.004823486842105263,0.9391956203150033,0.9605451456068173
-0.004822236842105264,0.9416025911291812,0.9646920373808894
-0.004820986842105263,0.9460726797840862,0.9674566318969406
-0.004819736842105263,0.950198915465538,0.9712579493565097
-0.004818486842105263,0.9550128570938938,0.9740225438725577
-0.004817236842105263,0.9598267987222519,0.9778238613321256
-0.004815986842105264,0.962577622509885,0.9812796044771872
-0.004814736842105263,0.9642968873771557,0.9833530503642243
-0.004813486842105264,0.9677354171116956,0.9871543678237903
-0.004812236842105263,0.969798534952422,0.9895733880253352
-0.004810986842105264,0.9722055057665999,0.9926835568558893
-0.004809736842105263,0.9770194473949591,0.9961393000009524
-0.004808486842105263,0.9808018301029559,0.999249468831509
-0.004807236842105263,0.9835526538905878,1.001668489033051
-0.004805986842105263,0.9869911836251292,1.005124232178113
-0.004804736842105264,0.9887104484923999,1.007543252379656
-0.004803486842105263,0.9904297133596706,1.009271123952187
-0.004802236842105264,0.9924928312003946,1.012381292782741
-0.004800986842105263,0.9952436549880286,1.01618261024231
-0.004799736842105263,0.9969629198553012,1.016873758871324
-0.004798486842105263,1.001089155536749,1.019638353387372
-0.004797236842105263,1.0052153912182,1.022402947903422
-0.004795986842105263,1.007622362032378,1.024821968104964
-0.004794736842105263,1.00865392095274,1.026549839677495
-0.004793486842105264,1.010029332846557,1.02793213693552
-0.004792236842105263,1.011748597713828,1.030351157137063
-0.004790986842105264,1.013811715554552,1.032424603024099
-0.004789736842105263,1.015874833395277,1.034152474596631
-0.004788486842105263,1.017937951236003,1.035880346169162
-0.004787236842105263,1.019313363129819,1.037608217741692
-0.004785986842105263,1.022751892864361,1.039336089314224
-0.004784736842105263,1.024815010705085,1.04140953520126
-0.004783486842105263,1.025846569625448,1.043137406773791
-0.004782236842105264,1.027565834492717,1.044519704031815
-0.004780986842105263,1.028941246386535,1.046247575604346
-0.004779736842105264,1.029972805306897,1.046593149918852
-0.004778486842105263,1.032035923147622,1.04866659580589
-0.004777236842105263,1.032035923147623,1.050048893063914
-0.004775986842105263,1.033411335041439,1.050740041692926
-0.004774736842105263,1.035474452882164,1.052122338950951
-0.004773486842105264,1.037537570722888,1.053850210523482
-0.004772236842105263,1.038569129643251,1.054886933467001
-0.004770986842105264,1.039256835590159,1.054886933467001
-0.004769736842105263,1.040632247483976,1.056269230725025
-0.004768486842105264,1.041319953430884,1.056960379354037
-0.004767236842105263,1.041319953430884,1.058342676612062
-0.004765986842105263,1.041663806404339,1.058342676612062
-0.004764736842105263,1.043039218298154,1.059379399555581
-0.004763486842105263,1.045446189112334,1.059724973870087
-0.004762236842105264,1.047509306953059,1.060070548184593
-0.004760986842105263,1.047165453979604,1.061107271128112
-0.004759736842105264,1.045790042085788,1.061107271128112
-0.004758486842105263,1.046133895059242,1.061107271128112
-0.004757236842105263,1.046477748032697,1.061452845442618
-0.004755986842105263,1.047853159926513,1.06214399407163
-0.004754736842105263,1.048540865873421,1.061798419757124
-0.004753486842105263,1.048884718846875,1.061798419757124
-0.004752236842105263,1.048884718846875,1.061798419757124
-0.004750986842105264,1.049572424793783,1.061798419757124
-0.004749736842105263,1.049572424793783,1.061798419757124
-0.004748486842105264,1.047509306953059,1.061452845442618
-0.004747236842105263,1.045790042085788,1.060416122499099
-0.004745986842105263,1.046477748032696,1.060761696813605
-0.004744736842105263,1.04682160100615,1.060070548184593
-0.004743486842105263,1.047853159926512,1.059724973870087
-0.004742236842105263,1.047165453979604,1.059033825241074
-0.004740986842105263,1.046133895059242,1.058688250926568
-0.004739736842105264,1.044414630191972,1.058342676612062
-0.004738486842105263,1.043726924245063,1.056960379354037
-0.004737236842105264,1.043726924245063,1.056614805039532
-0.004735986842105263,1.043383071271609,1.055578082096013
-0.004734736842105263,1.043726924245062,1.054541359152494
-0.004733486842105263,1.0426953653247,1.053850210523482
-0.004732236842105263,1.040632247483976,1.052467913265457
-0.004730986842105264,1.039600688563613,1.051776764636445
-0.004729736842105263,1.037537570722888,1.050740041692926
-0.004728486842105264,1.035474452882164,1.049012170120396
-0.004727236842105263,1.035130599908709,1.046938724233359
-0.004725986842105264,1.034786746935255,1.045902001289841
-0.004724736842105263,1.033755188014893,1.044519704031815
-0.004723486842105263,1.032035923147621,1.043482981088296
-0.004722236842105263,1.029628952333443,1.040372812257742
-0.004720986842105263,1.028941246386535,1.038990514999717
-0.004719736842105264,1.028253540439626,1.038299366370705
-0.004718486842105263,1.025846569625448,1.035534771854655
-0.004717236842105264,1.022408039890908,1.033806900282125
-0.004715986842105263,1.022064186917452,1.033115751653112
-0.004714736842105263,1.021720333943997,1.030351157137062
-0.004713486842105263,1.020688775023635,1.028623285564532
-0.004712236842105263,1.018281804209455,1.026549839677494
-0.004710986842105263,1.014499421501461,1.024130819475952
-0.004709736842105263,1.011748597713828,1.022057373588915
-0.004708486842105264,1.009685479873103,1.019292779072865
-0.004707236842105263,1.008997773926194,1.017564907500335
-0.004705986842105264,1.007278509058925,1.015491461613299
-0.004704736842105263,1.004527685271291,1.012381292782742
-0.004703486842105263,1.002808420404019,1.009962272581198
-0.004702236842105263,1.000745302563295,1.007543252379656
-0.004700986842105263,0.9962752139083895,1.004778657863605
-0.004699736842105263,0.9928366841738496,1.002014063347557
-0.004698486842105263,0.9900858603862165,0.9989038945170017
-0.004697236842105264,0.9883665955189466,0.9957937256864476
-0.004695986842105263,0.9880227425454916,0.993374705484903
-0.004694736842105264,0.9852719187578597,0.9899189623398429
-0.004693486842105263,0.9808018301029546,0.9868087935092859
-0.004692236842105263,0.9770194473949574,0.9836986246787289
-0.004690986842105263,0.9732370646869635,0.9805884558481749
-0.004689736842105263,0.969798534952422,0.9778238613321256
-0.004688486842105264,0.967391564138243,0.9740225438725577
-0.004687236842105263,0.9646407403506099,0.9709123750420022
-0.004685986842105264,0.96120221061607,0.9671110575824362
-0.004684736842105263,0.9587952398018894,0.9646920373808913
-0.004683486842105264,0.9546690041204416,0.9612362942358312
-0.004682236842105263,0.9498550624920817,0.957780551090768
-0.004680986842105263,0.9453849738371767,0.9536336593166922
-0.004679736842105263,0.9426341500495447,0.9498323418571262
