#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-12-07 16:08:38.547

Frequency (Hz),Channel 1 (dBV),Channel 2 (dBV)
0,-27.2955149947585,-4.136395240194028
0.002,-27.83011626370778,-4.43019945762807
0.004,-28.28360372313174,-7.925570208978695
0.006,-28.17196150754032,-18.42963597552704
0.008,-28.25453535524923,-41.69277537005541
0.01,-29.64816282249403,-85.47996657564134
0.012,-32.9998867802927,-67.62154170929645
0.014,-34.20619499520993,-68.17391966840998
0.016,-30.91327521895801,-72.06537000471302
0.018,-29.11312473053755,-73.42243148255967
0.02,-29.84778914185698,-77.79316979880461
0.022,-39.80766919010438,-69.62039085917588
0.024,-28.47392706129109,-73.11435589439581
0.026,-24.4906787493426,-71.79501814327493
0.028,-22.07721195451943,-81.554851686077
0.03,-20.68119520362942,-76.80092012442047
0.032,-20.33764880911523,-71.01251752533884
0.034,-18.90140348819625,-80.14280203445324
0.036,-16.0262251174396,-64.0398587147788
0.038,-10.91956127752083,-57.01145331180781
0.04,-7.669988033667829,-54.32266634793005
0.042,-6.23708505545579,-54.77010995139928
0.044,-6.944125078476045,-57.49349232267488
0.046,-10.33458166149553,-62.177090396944
0.048,-13.6925697275895,-65.36351140461763
0.05,-16.39265770012745,-68.14077695304138
0.052,-19.65907898386556,-73.69188665330229
0.054,-21.48703300387847,-77.24747171544087
0.056,-23.84649398695825,-73.93729893386447
0.058,-29.84914714391364,-75.24979266570448
0.06,-37.01976662422723,-85.78660520454827
0.062,-46.89259517918795,-81.38227308101128
0.064,-33.2059920856013,-75.07965579204905
0.066,-26.80352225511835,-72.29575344484056
0.068,-24.77969379141541,-71.23523862671902
0.07000000000000001,-24.7136502816555,-78.45333846273526
0.07199999999999999,-25.42690514669465,-81.27807478556994
0.074,-25.85414737191481,-78.1400860983746
0.076,-26.11327530305912,-82.8488875663588
0.078,-23.83137159873232,-77.50274686151057
0.08,-19.04088315829445,-81.43099780037525
0.082,-16.34869839972325,-81.54293824577083
0.08400000000000001,-15.41527447321192,-82.37424630675747
0.08599999999999999,-16.98212650939903,-84.00381492261103
0.08799999999999999,-21.6910144266541,-86.18166008100599
0.09,-26.55491351691875,-78.39145965479798
0.092,-30.4584421361535,-77.29483783514696
0.094,-32.22517066488424,-77.67305738395245
0.096,-30.17021397496499,-78.47494108867491
0.098,-29.51043654317048,-77.32757735151841
0.1,-30.93134204099963,-76.89956394317944
0.102,-33.93958808394108,-74.21135722008499
0.104,-39.49875735518288,-76.17628553660377
0.106,-40.19159468202025,-80.20393551105208
0.108,-32.36364310813677,-79.45780204551073
0.11,-33.29187690365806,-78.71249420425585
0.112,-38.08107722883389,-81.38372965778137
0.114,-36.12070418685596,-73.5899875703854
0.116,-34.65585103199351,-67.38668803921701
0.118,-36.90828051615739,-63.33947605437724
0.12,-34.64297926991008,-62.55084120347911
0.122,-26.95025003942526,-63.61215752888388
0.124,-21.4860516521363,-66.42178358582431
0.126,-18.93627429502655,-71.33556585925996
0.128,-19.40300737917801,-75.30746566089917
0.13,-21.39027227468194,-76.38852604507728
0.132,-24.02353863346908,-77.32653759041133
0.134,-28.34549718932339,-77.15644702653474
0.136,-34.44808524615107,-75.96195980583715
0.138,-39.92122713004097,-75.63340482358066
0.14,-45.06985175869298,-76.61551169243961
0.142,-33.81338342754827,-77.99517234967284
0.144,-30.78196455944029,-76.07877791322468
0.146,-32.83594024850935,-76.17024332501475
0.148,-38.29090529093308,-80.90593923164968
0.15,-47.7107279696263,-83.89849532783613
0.152,-57.21785291419139,-79.82499589371413
0.154,-51.71351163217109,-77.79162745266026
0.156,-47.02778720795311,-79.57809628494898
0.158,-38.21435548414372,-81.09182937376703
0.16,-34.66001744891679,-79.42920991611837
0.162,-35.744194140285,-79.99491117071622
0.164,-32.98064779402427,-86.84572930809148
0.166,-27.29258135028779,-90.61833648007376
0.168,-24.7410581568185,-86.29781824468429
0.17,-24.71443498936988,-93.50422466023103
0.172,-26.72507414265995,-86.67632302008344
0.174,-32.83635757477226,-82.79565151295743
0.176,-34.98855595935636,-82.64242736015574
0.178,-33.20848285748649,-82.65894211880104
0.18,-34.9737137851833,-86.26367756767021
0.182,-37.54620769712063,-84.02560420312021
0.184,-40.55340128553235,-80.77657265567225
0.186,-42.95046787793299,-81.28141460547111
0.188,-42.89257921684766,-78.93330987235889
0.19,-40.27499674272925,-77.38282669818611
0.192,-37.93053130380892,-79.52895313523813
0.194,-40.82695322522156,-75.95827242761443
0.196,-42.98945890084567,-71.08222904724455
0.198,-37.01455342675096,-70.13562569131361
0.2,-33.6710537527706,-71.77839922466922
0.202,-32.79041328343175,-75.79156198617996
0.204,-33.64394726560798,-87.25844127764688
0.206,-34.74254541555423,-80.51864825334502
0.208,-32.88954797796234,-77.56586443779349
0.21,-32.6640160961929,-77.78521420049664
0.212,-35.35891975389416,-78.21405612836266
